City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
191,Catherinas Lust,GY,6.4,-57.6,79.77,72,100,10.69,overcast clouds
192,Inza,RU,53.8533,46.3586,22.68,96,100,7.36,light snow
193,Ayagoz,KZ,47.9714,80.4392,9.07,87,100,7.36,overcast clouds
194,Khanbari,NP,27.3747,87.2039,53.35,41,0,3.49,clear sky
195,Vardø,NO,70.3705,31.1107,24.78,86,75,12.66,light snow
196,Maïné Soroa,NE,13.2114,12.0241,73.38,18,95,8.48,overcast clouds
197,Zunyi,CN,27.6867,106.9072,42.42,86,100,2.28,overcast clouds
198,Huarmey,PE,-10.0681,-78.1522,76.44,72,68,10.58,broken clouds
199,Oistins,BB,13.0667,-59.5333,82.49,65,40,19.57,scattered clouds
200,Newton Abbot,GB,50.5286,-3.6119,50.18,94,99,3.0,overcast clouds
201,Goderich,CA,43.7501,-81.7165,32.92,64,100,18.41,overcast clouds
202,Geraldton,AU,-28.7667,114.6,77.41,41,0,9.22,clear sky
203,General Cepeda,MX,25.3833,-101.45,65.32,34,9,16.75,clear sky
204,Barrow,US,71.2906,-156.7887,-3.98,84,100,13.8,mist
205,Kenora,CA,49.8167,-94.4337,-13.23,58,20,11.5,few clouds
206,Okha,RU,53.5739,142.9478,-17.23,98,100,11.21,overcast clouds
207,Bengkulu,ID,-3.8004,102.2655,75.52,88,100,4.94,moderate rain
208,Ketchikan,US,55.3422,-131.6461,40.98,93,100,20.71,moderate rain
209,Berlevåg,NO,70.8578,29.0864,24.75,93,75,9.22,light snow
210,Vung Tau,VN,10.346,107.0843,78.39,78,74,18.95,broken clouds
211,Mount Isa,AU,-20.7333,139.5,74.97,69,52,10.36,broken clouds
212,Plettenberg Bay,ZA,-34.0527,23.3716,66.78,82,69,2.59,broken clouds
213,Lorengau,PG,-2.0226,147.2712,79.61,79,80,0.81,broken clouds
214,Cabo San Lucas,MX,22.8909,-109.9124,76.6,51,50,3.0,scattered clouds
215,Aloleng,PH,16.1307,119.7824,77.7,75,2,6.31,clear sky
216,Kongwa,TZ,-6.2,36.4167,66.63,88,75,3.87,light rain
217,Rawson,AR,-43.3002,-65.1023,79.5,45,65,13.47,broken clouds
218,Korla,CN,41.7597,86.1469,23.02,70,12,5.44,few clouds
219,Praia,CV,14.9215,-23.5087,72.14,68,75,21.85,broken clouds
220,Mount Gambier,AU,-37.8333,140.7667,50.83,80,100,18.25,overcast clouds
221,Port Augusta,AU,-32.5,137.7667,60.71,51,53,15.93,broken clouds
222,Nevşehir,TR,38.9167,34.6667,22.21,74,40,5.75,scattered clouds
223,Daru,PG,-9.0763,143.2092,76.57,92,100,9.1,overcast clouds
224,Hong Kong,HK,22.2855,114.1577,64.45,82,79,13.0,broken clouds
225,Berdigestyakh,RU,62.0989,126.6992,-14.53,99,100,2.59,overcast clouds
226,Faanui,PF,-16.4833,-151.75,80.98,77,11,18.81,light rain
227,Danielskuil,ZA,-28.1887,23.5395,73.35,46,15,7.09,few clouds
228,Namatanai,PG,-3.6667,152.4333,80.1,79,100,3.76,light rain
229,Coro,VE,11.4045,-69.6734,83.25,54,0,20.49,clear sky
230,Medeiros Neto,BR,-17.3739,-40.2206,86.02,53,8,8.23,clear sky
